Fecha,Canal,Categoria,Comentario
2025-08-01,Instagram,Servicio,El personal fue amable y paciente; me guiaron paso a paso. Recomendado. Hice el pedido desde Santiago y todo salio muy bien.
2025-08-01,Web,Entrega,El empaque llego golpeado y la caja estaba abierta. Realice el reclamo por WhatsApp y nadie respondio.
2025-08-01,App,Servicio,No respetaron la fecha de entrega y no avisaron a tiempo.
2025-08-01,Web,Atencion,"El tiempo de entrega fue el esperado, nada fuera de lo normal. Soy de Santiago y el proceso fue estandar."
2025-08-01,Tienda fisica,Servicio,No respetaron la fecha de entrega y no avisaron a tiempo. Muy decepcionado. Realice el reclamo por WhatsApp y nadie respondio.
2025-08-01,Instagram,Servicio,El pedido llego tarde y nadie contestaba mis mensajes. No volvere a comprar. Realice el reclamo por Instagram y nadie respondio.
2025-08-01,App,Entrega,Hice la compra por la web sin inconvenientes notables.
2025-08-01,Tienda fisica,Producto,La atencion fue fria y tardaron en darme respuesta.
2025-08-01,App,Entrega,La entrega llego antes de la fecha estimada y en perfecto estado. Volvere pronto.
2025-08-01,Tienda fisica,Atencion,No respetaron la fecha de entrega y no avisaron a tiempo.
2025-08-02,Web,Producto,La atencion fue fria y tardaron en darme respuesta. Esperaba algo mejor.
2025-08-02,Instagram,Atencion,Me ofrecieron una solucion inmediata y quede satisfecho.
2025-08-02,Instagram,Producto,"La calidad del producto supero mis expectativas, se nota el cuidado."
2025-08-02,WhatsApp,Entrega,Me ofrecieron una solucion inmediata y quede satisfecho.
2025-08-02,WhatsApp,Servicio,Me rechazaron el cupon en caja sin explicacion.
2025-08-02,Tienda fisica,Producto,"La calidad del producto supero mis expectativas, se nota el cuidado. Gracias por el buen servicio. Hice el pedido desde La Romana y todo salio perfecto."
2025-08-02,Web,Atencion,Me ofrecieron una solucion inmediata y quede satisfecho.
2025-08-02,Instagram,Atencion,Los cupones y promociones si funcionan; ahorre bastante.
2025-08-02,App,Atencion,El precio esta dentro de lo razonable para el mercado. Vere el desempeno durante la semana.
2025-08-02,Tienda fisica,Producto,No respetaron la fecha de entrega y no avisaron a tiempo. Esperaba algo mejor.
2025-08-03,Tienda fisica,Servicio,El empaque vino impecable y se agradece el detalle de la nota. Gracias por el buen servicio. Hice el pedido desde San Cristobal y todo salio muy bien.
2025-08-03,Tienda fisica,Servicio,La app funciona; podria ser mas rapida en algunos pasos.
2025-08-04,App,Atencion,Muy buena experiencia en la tienda fisica; rapidos y cordiales. Recomendado.
2025-08-04,WhatsApp,Producto,Los precios son altos para la calidad que ofrecen. Realice el reclamo en la tienda y nadie respondio.
2025-08-04,Tienda fisica,Producto,El precio esta dentro de lo razonable para el mercado.
2025-08-04,Web,Servicio,Me rechazaron el cupon en caja sin explicacion. Realice el reclamo en la tienda y nadie respondio.
2025-08-04,Tienda fisica,Servicio,La posventa es inexistente; nadie se hace responsable. Necesito solucion urgente.
2025-08-04,WhatsApp,Servicio,La app funciona; podria ser mas rapida en algunos pasos.
2025-08-04,App,Entrega,No pude rastrear el pedido; el enlace nunca funciono. No volvere a comprar.
2025-08-04,Tienda fisica,Atencion,"La atencion fue correcta, sin destacar demasiado."
2025-08-05,Web,Producto,Me rechazaron el cupon en caja sin explicacion. Realice el reclamo por Instagram y nadie respondio.
2025-08-05,Tienda fisica,Atencion,"La calidad del producto supero mis expectativas, se nota el cuidado. Hice el pedido desde San Cristobal y todo salio perfecto."
2025-08-05,Web,Servicio,La descripcion no coincide con lo que recibi; me siento enganado. Esperaba algo mejor.
2025-08-05,WhatsApp,Producto,Muy buena experiencia en la tienda fisica; rapidos y cordiales.
2025-08-05,Web,Producto,Me ofrecieron una solucion inmediata y quede satisfecho.
2025-08-06,Instagram,Producto,Cancelaron el pedido sin mi autorizacion ni alternativas. Necesito solucion urgente. Realice el reclamo por correo y nadie respondio.
2025-08-06,Instagram,Entrega,"El empaque es sencillo, pero suficiente para proteger. Vere el desempeno durante la semana."
2025-08-06,WhatsApp,Entrega,"El chat me dejo en espera mas de 30 minutos, pesima experiencia. Necesito solucion urgente."
2025-08-06,Instagram,Producto,El empaque llego golpeado y la caja estaba abierta. Necesito solucion urgente. Realice el reclamo por correo y nadie respondio.
2025-08-06,App,Entrega,Me rechazaron el cupon en caja sin explicacion.
2025-08-06,Web,Producto,Me rechazaron el cupon en caja sin explicacion.
2025-08-06,Instagram,Servicio,No pude rastrear el pedido; el enlace nunca funciono.
2025-08-06,App,Producto,Me atendieron super rapido y resolvieron todo en la primera llamada. Volvere pronto. Hice el pedido desde Puerto Plata y todo salio excelente.
2025-08-07,Tienda fisica,Producto,"Excelente relacion calidad-precio, definitivamente volveria a comprar. Hice el pedido desde Santiago y todo salio perfecto."
2025-08-07,Tienda fisica,Servicio,"El chat me dejo en espera mas de 30 minutos, pesima experiencia."
2025-08-07,Instagram,Producto,La app funciona; podria ser mas rapida en algunos pasos.
2025-08-07,Instagram,Atencion,Pude rastrear el pedido en todo momento; transparencia total. Volvere pronto.
